               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12677,            0.073172,            0.048933,          0.00042244,             0.10208,          0.00030253,          6.8232e-05,             0.10679,            0.038836,            0.044796,              0.0865,              0.0015,              0.0015
                   1,            0.099605,             0.05386,             0.04402,           0.0042616,             0.51274,           0.0098084,           0.0025276,            0.079603,            0.041118,             0.04158,            0.072069,           0.0030693,           0.0030693
                   2,            0.082868,            0.049927,             0.04285,             0.16914,            0.044771,            0.095823,            0.022756,            0.076869,            0.031452,            0.040395,            0.057607,           0.0046069,           0.0046069
                   3,            0.077013,            0.039386,            0.042082,             0.21254,             0.25415,             0.17361,            0.039783,            0.076958,            0.030886,            0.040759,            0.043113,           0.0061129,           0.0061129
                   4,            0.074258,            0.034791,            0.041415,            0.061054,             0.47657,            0.067544,             0.01619,            0.085331,            0.024669,            0.040721,            0.028587,           0.0075872,           0.0075872
                   5,            0.077226,            0.028338,            0.040586,             0.12653,             0.40005,             0.12889,            0.039097,            0.070412,            0.021187,            0.040833,             0.01403,           0.0090297,           0.0090297
                   6,            0.071474,            0.027865,            0.040128,            0.080552,             0.37757,             0.12314,            0.040248,            0.083832,            0.021789,            0.038604,            0.009406,            0.009406,            0.009406
                   7,            0.072336,            0.024892,            0.040146,             0.16903,             0.46168,             0.20357,            0.075166,            0.073545,            0.021713,            0.038313,            0.009406,            0.009406,            0.009406
                   8,            0.062882,            0.024249,            0.039317,             0.42547,             0.36256,             0.34193,             0.10537,            0.067619,            0.018298,            0.038061,            0.009307,            0.009307,            0.009307
                   9,            0.063821,            0.023272,            0.038549,             0.41309,             0.38552,              0.3389,             0.11231,            0.069219,             0.01984,            0.037411,            0.009208,            0.009208,            0.009208
                  10,            0.060909,            0.022806,             0.03785,             0.37005,             0.58947,             0.41255,             0.16961,            0.059187,            0.017635,            0.036863,            0.009109,            0.009109,            0.009109
                  11,            0.056564,            0.021098,            0.037034,             0.52154,             0.50301,             0.50666,             0.21881,             0.05148,            0.017686,            0.035997,             0.00901,             0.00901,             0.00901
                  12,            0.052945,            0.020283,            0.036074,             0.35271,              0.6039,             0.37777,             0.13246,            0.056887,            0.018072,            0.035128,            0.008911,            0.008911,            0.008911
                  13,            0.051728,             0.01941,            0.035436,             0.50096,             0.62142,             0.53646,             0.18862,            0.048637,            0.017735,            0.034612,            0.008812,            0.008812,            0.008812
                  14,            0.051613,            0.020369,            0.034766,             0.59085,             0.78706,             0.72329,             0.30094,            0.044647,             0.01699,            0.033777,            0.008713,            0.008713,            0.008713
                  15,            0.050931,            0.019785,            0.033757,             0.62414,             0.70402,             0.75907,             0.30178,            0.044523,            0.016121,            0.033167,            0.008614,            0.008614,            0.008614
                  16,             0.04964,            0.020101,            0.032215,             0.63282,             0.72184,             0.77479,              0.2941,            0.045298,            0.016066,            0.032234,            0.008515,            0.008515,            0.008515
                  17,            0.048481,            0.018271,            0.032026,             0.66676,              0.7853,             0.80173,             0.39315,            0.042733,            0.015785,            0.031582,            0.008416,            0.008416,            0.008416
                  18,            0.047625,            0.019128,            0.030198,             0.70383,             0.77828,             0.78462,             0.32234,            0.043807,            0.015842,            0.030583,            0.008317,            0.008317,            0.008317
                  19,            0.047677,            0.018445,            0.029171,             0.71183,             0.77013,             0.78678,             0.34018,            0.039772,            0.015713,            0.030106,            0.008218,            0.008218,            0.008218
                  20,            0.046723,            0.018361,            0.027844,             0.71749,             0.77634,              0.8132,             0.38108,            0.040406,            0.015619,            0.029542,            0.008119,            0.008119,            0.008119
                  21,            0.044392,            0.018558,            0.027035,             0.80529,               0.786,             0.86126,             0.37846,            0.038886,            0.015807,            0.028843,             0.00802,             0.00802,             0.00802
                  22,            0.044089,            0.017955,            0.024823,             0.79261,              0.8156,             0.87844,             0.40264,            0.039661,             0.01545,            0.027545,            0.007921,            0.007921,            0.007921
                  23,            0.043781,            0.018558,            0.023879,             0.82131,             0.79112,             0.86025,             0.43044,            0.040629,            0.015434,            0.026354,            0.007822,            0.007822,            0.007822
                  24,            0.043579,            0.018223,            0.021691,             0.89832,             0.82525,             0.89981,             0.42875,            0.041589,             0.01584,            0.025054,            0.007723,            0.007723,            0.007723
                  25,            0.043849,            0.017057,            0.020344,             0.82055,             0.89412,              0.8869,             0.43979,            0.039887,            0.015663,            0.023477,            0.007624,            0.007624,            0.007624
                  26,            0.042095,            0.017233,            0.020039,              0.8226,             0.84992,             0.88741,             0.39414,            0.039047,            0.015567,            0.022389,            0.007525,            0.007525,            0.007525
                  27,             0.04283,            0.016656,            0.018046,              0.7754,              0.7667,             0.85088,             0.37401,            0.039569,            0.015355,            0.020505,            0.007426,            0.007426,            0.007426
                  28,            0.042596,            0.017213,            0.016865,             0.74835,              0.8385,              0.8669,             0.44975,            0.041611,            0.015357,            0.019084,            0.007327,            0.007327,            0.007327
                  29,            0.042748,            0.017291,            0.014809,             0.86174,             0.84752,             0.90892,             0.46227,            0.043162,            0.015134,            0.017214,            0.007228,            0.007228,            0.007228
                  30,            0.042942,            0.017524,            0.013669,             0.83163,             0.84035,             0.90576,             0.49161,            0.039499,            0.015103,            0.014957,            0.007129,            0.007129,            0.007129
                  31,            0.042238,            0.016748,              0.0123,             0.88487,              0.8647,              0.9059,             0.49288,            0.041101,            0.014983,            0.013543,             0.00703,             0.00703,             0.00703
                  32,            0.040998,            0.017232,            0.010813,             0.86119,             0.86377,             0.90551,             0.47735,            0.043026,            0.015033,            0.011834,            0.006931,            0.006931,            0.006931
                  33,            0.042789,            0.017245,            0.011105,              0.8689,             0.79822,             0.87601,             0.40045,            0.041868,            0.015153,             0.01136,            0.006832,            0.006832,            0.006832
