               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085703,            0.043819,            0.035139,             0.65193,             0.23405,             0.14846,            0.053042,            0.068854,            0.023412,            0.028656,             0.07024,           0.0033067,           0.0033067
                   1,            0.064781,            0.022832,            0.025594,             0.77496,             0.32011,             0.30927,             0.13071,             0.06436,            0.018312,            0.015655,            0.040174,           0.0065743,           0.0065743
                   2,            0.063969,            0.018334,            0.013626,             0.72853,             0.35745,             0.26623,            0.087814,            0.061802,            0.017244,           0.0087563,            0.010043,           0.0097759,           0.0097759
                   3,            0.055256,            0.016855,            0.010307,             0.81525,             0.40726,             0.38294,             0.15889,            0.050116,            0.016383,           0.0073595,            0.009703,            0.009703,            0.009703
                   4,            0.048974,            0.016098,           0.0097987,             0.91879,             0.45397,             0.49858,             0.24696,            0.044049,            0.015377,            0.007508,            0.009703,            0.009703,            0.009703
                   5,            0.044864,            0.015061,           0.0079724,             0.92216,             0.44702,             0.52742,             0.25131,            0.042703,            0.014921,           0.0066514,            0.009604,            0.009604,            0.009604
                   6,            0.042364,            0.014645,           0.0073945,              0.9663,             0.46984,             0.64635,             0.33961,            0.037216,            0.014438,            0.006222,            0.009505,            0.009505,            0.009505
                   7,             0.04013,            0.014074,           0.0072252,             0.89015,             0.68273,             0.74428,             0.41754,            0.034114,            0.013777,           0.0058505,            0.009406,            0.009406,            0.009406
                   8,            0.039111,             0.01383,            0.006427,             0.94262,             0.68716,             0.80729,             0.44467,            0.035703,             0.01392,           0.0050776,            0.009307,            0.009307,            0.009307
                   9,            0.038702,            0.013562,           0.0058653,             0.93974,             0.70112,             0.77972,             0.45682,             0.03327,            0.013785,           0.0045714,            0.009208,            0.009208,            0.009208
                  10,            0.037265,             0.01314,           0.0053474,             0.94869,             0.68025,             0.75757,             0.45052,            0.030655,            0.013401,           0.0042813,            0.009109,            0.009109,            0.009109
                  11,            0.037097,            0.013316,           0.0057392,             0.95458,             0.69372,             0.77913,             0.43337,             0.03108,            0.013321,           0.0039911,             0.00901,             0.00901,             0.00901
                  12,            0.036216,              0.0131,           0.0048007,             0.73551,             0.75045,             0.78589,             0.46139,            0.029929,            0.013153,           0.0036541,            0.008911,            0.008911,            0.008911
                  13,            0.035226,             0.01278,           0.0040681,               0.739,             0.81784,             0.83478,             0.52209,            0.029151,            0.013067,           0.0031077,            0.008812,            0.008812,            0.008812
                  14,            0.034392,            0.012687,           0.0038425,             0.79863,             0.85048,             0.88072,             0.55845,            0.030662,            0.013027,            0.003202,            0.008713,            0.008713,            0.008713
                  15,            0.033923,            0.012511,           0.0037212,             0.86894,             0.89997,              0.9329,             0.55869,             0.02904,            0.012889,           0.0029038,            0.008614,            0.008614,            0.008614
                  16,            0.033366,            0.012366,           0.0035971,             0.94354,             0.91379,             0.95175,             0.59091,            0.027676,            0.012649,           0.0026692,            0.008515,            0.008515,            0.008515
                  17,            0.033129,             0.01245,           0.0035652,             0.94351,             0.90897,             0.95321,             0.58809,            0.027902,            0.012574,           0.0023783,            0.008416,            0.008416,            0.008416
