               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082351,           0.0059349,           0.0063215,           0.0039177,             0.41361,           0.0059212,           0.0024843,            0.057261,           0.0084316,           0.0050764,             0.07024,           0.0033067,           0.0033067
                   1,            0.052485,           0.0074462,           0.0048184,             0.38526,             0.21134,             0.13969,            0.034585,            0.049171,           0.0066134,           0.0047907,            0.040174,           0.0065743,           0.0065743
                   2,            0.049336,           0.0058607,           0.0045655,              0.4594,             0.28724,             0.22336,            0.090938,            0.045869,           0.0056415,           0.0045993,            0.010043,           0.0097759,           0.0097759
                   3,            0.044343,           0.0050995,           0.0044025,             0.74182,             0.35718,             0.31777,             0.14527,            0.039064,           0.0048621,           0.0044186,            0.009703,            0.009703,            0.009703
                   4,            0.041997,           0.0041749,           0.0042423,             0.78158,             0.38662,             0.37007,             0.20699,            0.037141,           0.0037897,           0.0042901,            0.009703,            0.009703,            0.009703
                   5,            0.038836,           0.0033811,            0.003996,             0.90992,             0.39808,             0.45322,              0.2348,             0.03434,           0.0030719,           0.0040328,            0.009604,            0.009604,            0.009604
                   6,            0.036353,           0.0029472,            0.003742,             0.95186,             0.42343,             0.48005,              0.2824,            0.031199,            0.002759,            0.003791,            0.009505,            0.009505,            0.009505
                   7,            0.035017,           0.0026993,           0.0036035,             0.97051,             0.43061,             0.48638,              0.2807,            0.031254,           0.0026388,           0.0036085,            0.009406,            0.009406,            0.009406
                   8,            0.034019,           0.0026086,           0.0033908,             0.94522,                0.45,             0.48625,             0.29098,            0.030064,            0.002566,           0.0034911,            0.009307,            0.009307,            0.009307
                   9,            0.032709,           0.0025015,           0.0032448,              0.9582,              0.4494,             0.48669,              0.2882,            0.029812,           0.0024981,           0.0033244,            0.009208,            0.009208,            0.009208
                  10,            0.032283,           0.0024135,           0.0029979,              0.9652,              0.4495,             0.49613,             0.30587,            0.029076,           0.0024521,           0.0030115,            0.009109,            0.009109,            0.009109
                  11,            0.031473,           0.0023704,           0.0028023,              0.9639,             0.45575,             0.49589,             0.31299,            0.028227,           0.0025136,           0.0028734,             0.00901,             0.00901,             0.00901
                  12,             0.03094,           0.0023334,           0.0025838,             0.96712,             0.46758,             0.50147,             0.31056,            0.027575,            0.002301,           0.0026852,            0.008911,            0.008911,            0.008911
                  13,            0.030125,           0.0023013,           0.0024942,             0.98276,             0.46575,             0.51247,             0.32264,            0.028161,           0.0022807,           0.0025795,            0.008812,            0.008812,            0.008812
                  14,            0.029001,           0.0022173,           0.0023742,              0.9661,             0.47224,             0.50396,             0.32348,            0.026655,            0.002251,           0.0024713,            0.008713,            0.008713,            0.008713
                  15,            0.028927,           0.0021538,           0.0022697,             0.97366,             0.47331,             0.50842,             0.33416,            0.026348,           0.0022478,           0.0024361,            0.008614,            0.008614,            0.008614
                  16,            0.029332,            0.002137,           0.0022332,             0.97276,             0.47227,             0.50103,             0.32102,            0.027218,           0.0022555,            0.002429,            0.008515,            0.008515,            0.008515
                  17,            0.028864,           0.0021663,           0.0022112,             0.96867,             0.46777,             0.50801,             0.32958,            0.027088,            0.002172,           0.0024126,            0.008416,            0.008416,            0.008416
                  18,            0.028368,            0.002114,           0.0021629,             0.98152,             0.47873,             0.51132,             0.33541,            0.026266,           0.0020985,           0.0023573,            0.008317,            0.008317,            0.008317
                  19,            0.027864,            0.002105,           0.0021187,             0.98066,              0.4823,             0.50507,             0.32366,            0.027386,           0.0021173,           0.0023047,            0.008218,            0.008218,            0.008218
                  20,            0.027891,           0.0021102,           0.0020547,             0.97625,              0.4715,             0.51321,             0.33467,              0.0268,           0.0021515,           0.0021785,            0.008119,            0.008119,            0.008119
                  21,            0.027436,           0.0020474,           0.0019091,             0.97545,             0.47976,             0.57677,             0.36785,            0.026586,           0.0020736,           0.0020068,             0.00802,             0.00802,             0.00802
                  22,            0.026938,           0.0019692,           0.0016131,             0.97722,             0.47832,             0.53689,             0.34661,            0.026418,           0.0020319,           0.0017588,            0.007921,            0.007921,            0.007921
                  23,            0.027534,            0.001966,           0.0016119,             0.97963,             0.47788,             0.52592,             0.34851,            0.025942,           0.0020851,            0.001678,            0.007822,            0.007822,            0.007822
                  24,            0.026656,           0.0020106,           0.0013829,             0.97763,             0.48017,             0.60884,             0.39693,            0.026011,           0.0020763,            0.001598,            0.007723,            0.007723,            0.007723
                  25,            0.026995,           0.0019486,           0.0013181,             0.97524,             0.47937,              0.6203,             0.40652,            0.025883,           0.0020024,           0.0015768,            0.007624,            0.007624,            0.007624
                  26,            0.026503,           0.0019066,           0.0013793,             0.97848,             0.48201,             0.62211,             0.39684,            0.025701,           0.0020267,           0.0014992,            0.007525,            0.007525,            0.007525
                  27,            0.025819,           0.0018628,           0.0012365,             0.97545,             0.48077,             0.60777,             0.40077,            0.026196,           0.0020139,           0.0015115,            0.007426,            0.007426,            0.007426
                  28,            0.026253,           0.0018807,           0.0012072,             0.87619,             0.55385,             0.67445,             0.44523,            0.025635,           0.0019896,           0.0014147,            0.007327,            0.007327,            0.007327
                  29,            0.025823,            0.001881,           0.0011672,             0.87986,             0.56078,              0.6801,             0.44027,            0.026103,           0.0019482,           0.0014366,            0.007228,            0.007228,            0.007228
                  30,            0.025557,           0.0018726,           0.0011066,             0.88925,             0.54333,             0.65028,             0.41771,            0.026197,           0.0019848,           0.0014036,            0.007129,            0.007129,            0.007129
                  31,             0.02589,           0.0018651,           0.0011109,             0.85507,             0.57661,             0.70724,             0.47539,            0.026436,           0.0019503,           0.0013845,             0.00703,             0.00703,             0.00703
                  32,            0.025548,            0.001813,           0.0010247,             0.85891,             0.56262,             0.67426,             0.44478,            0.026409,           0.0019512,           0.0013812,            0.006931,            0.006931,            0.006931
                  33,            0.025489,            0.001801,            0.001027,             0.82359,             0.63255,             0.69222,             0.46105,            0.025741,           0.0019703,           0.0013319,            0.006832,            0.006832,            0.006832
                  34,            0.025191,           0.0017735,           0.0010095,             0.87146,             0.60803,             0.69456,             0.47017,            0.025277,           0.0019318,           0.0013195,            0.006733,            0.006733,            0.006733
                  35,            0.025203,           0.0017406,          0.00085635,             0.86122,              0.6455,              0.7092,             0.46866,            0.025131,           0.0018999,           0.0013253,            0.006634,            0.006634,            0.006634
                  36,            0.025184,           0.0017655,           0.0011082,             0.85412,             0.62849,             0.70054,             0.47803,            0.025128,           0.0018367,           0.0013623,            0.006535,            0.006535,            0.006535
                  37,            0.024635,           0.0017543,           0.0010196,             0.86913,             0.65597,             0.74301,             0.50178,            0.025933,           0.0018978,            0.001257,            0.006436,            0.006436,            0.006436
                  38,            0.025343,           0.0017603,          0.00097706,             0.87278,             0.66722,             0.69861,             0.47818,            0.025327,           0.0018725,           0.0013119,            0.006337,            0.006337,            0.006337
                  39,            0.024535,           0.0016809,           0.0010585,             0.88274,             0.66865,             0.71377,             0.48677,            0.024729,           0.0018678,            0.001304,            0.006238,            0.006238,            0.006238
                  40,            0.024597,           0.0017179,           0.0010136,             0.85703,             0.68394,             0.72007,             0.48875,            0.025195,           0.0018148,           0.0012438,            0.006139,            0.006139,            0.006139
                  41,            0.024469,            0.001755,          0.00099175,             0.87006,             0.67608,             0.74112,             0.50425,            0.023702,           0.0018125,           0.0012555,             0.00604,             0.00604,             0.00604
                  42,            0.024674,           0.0016759,            0.000908,             0.87134,             0.68179,             0.74083,             0.50917,            0.024621,           0.0018374,            0.001297,            0.005941,            0.005941,            0.005941
                  43,            0.024018,           0.0016956,          0.00093932,             0.89779,             0.65503,             0.75892,             0.52134,            0.024588,           0.0018275,           0.0012481,            0.005842,            0.005842,            0.005842
                  44,            0.024139,           0.0016763,          0.00090582,             0.86927,             0.67043,             0.77198,             0.53319,            0.025137,           0.0018388,           0.0012474,            0.005743,            0.005743,            0.005743
                  45,            0.023869,           0.0016563,          0.00093733,             0.88666,             0.69842,             0.75305,             0.52292,            0.025117,           0.0018099,           0.0012592,            0.005644,            0.005644,            0.005644
                  46,            0.023796,           0.0016888,          0.00091388,             0.88662,             0.71323,             0.75315,             0.51678,             0.02514,            0.001807,           0.0012295,            0.005545,            0.005545,            0.005545
                  47,            0.023851,           0.0016777,          0.00089236,             0.87767,             0.70067,             0.76713,             0.52094,            0.025141,           0.0018531,           0.0011895,            0.005446,            0.005446,            0.005446
                  48,             0.02355,           0.0016869,          0.00083193,             0.88653,             0.67156,             0.76728,             0.53567,            0.025164,            0.001793,           0.0012125,            0.005347,            0.005347,            0.005347
                  49,            0.023465,           0.0015918,          0.00081071,             0.90265,             0.66222,             0.79086,             0.53579,            0.025305,           0.0017923,           0.0011765,            0.005248,            0.005248,            0.005248
                  50,            0.023818,           0.0015568,           0.0008616,             0.90981,             0.64286,             0.78262,             0.53248,             0.02477,           0.0018163,           0.0011716,            0.005149,            0.005149,            0.005149
                  51,            0.023297,           0.0016501,          0.00078523,              0.8989,             0.69842,             0.81888,             0.56355,            0.025344,           0.0018162,           0.0011976,             0.00505,             0.00505,             0.00505
                  52,            0.023038,           0.0015921,          0.00084631,             0.89669,             0.67311,               0.815,              0.5496,            0.025163,           0.0017848,           0.0011596,            0.004951,            0.004951,            0.004951
                  53,            0.023311,           0.0015917,          0.00084746,             0.90219,             0.66201,             0.82147,             0.56269,            0.024712,           0.0018077,            0.001168,            0.004852,            0.004852,            0.004852
                  54,            0.023138,           0.0016152,          0.00087494,             0.91669,             0.69019,             0.81683,             0.55733,            0.024743,           0.0017948,           0.0011421,            0.004753,            0.004753,            0.004753
                  55,            0.023351,           0.0016182,          0.00083212,             0.90627,             0.66665,             0.82718,             0.57313,            0.024827,           0.0018139,           0.0011315,            0.004654,            0.004654,            0.004654
                  56,            0.023633,             0.00163,           0.0007857,             0.90797,             0.65327,             0.82975,             0.57836,            0.024928,           0.0018254,           0.0011808,            0.004555,            0.004555,            0.004555
                  57,            0.022949,           0.0015586,          0.00080825,             0.91395,             0.68637,             0.83585,             0.58299,            0.024865,           0.0017946,           0.0011417,            0.004456,            0.004456,            0.004456
                  58,            0.022451,           0.0015506,          0.00079322,             0.92148,             0.67368,             0.84556,             0.60173,            0.025083,           0.0017744,           0.0011598,            0.004357,            0.004357,            0.004357
                  59,            0.022729,           0.0015786,          0.00079901,             0.92265,             0.65349,             0.83281,             0.58053,            0.024867,           0.0017765,           0.0011462,            0.004258,            0.004258,            0.004258
                  60,            0.022919,           0.0015635,          0.00077882,             0.92289,             0.66532,             0.85662,             0.60189,            0.025022,            0.001775,           0.0011649,            0.004159,            0.004159,            0.004159
                  61,             0.02296,           0.0015583,          0.00081404,             0.89418,             0.67191,             0.84003,             0.58673,            0.025163,           0.0017924,            0.001109,             0.00406,             0.00406,             0.00406
                  62,            0.022284,           0.0015459,          0.00085767,             0.92715,             0.69742,             0.85607,             0.59649,            0.024491,           0.0017563,            0.001099,            0.003961,            0.003961,            0.003961
                  63,            0.022312,           0.0015543,          0.00078965,             0.92912,             0.69126,             0.86853,             0.60344,            0.024606,           0.0017735,           0.0011034,            0.003862,            0.003862,            0.003862
                  64,            0.021638,           0.0014896,          0.00075997,             0.92408,             0.69627,             0.87339,             0.60186,            0.024966,           0.0017841,           0.0011186,            0.003763,            0.003763,            0.003763
                  65,            0.022152,           0.0014982,          0.00067695,             0.92028,             0.70369,             0.85131,             0.60752,            0.024444,           0.0017613,             0.00107,            0.003664,            0.003664,            0.003664
                  66,            0.021577,           0.0015403,          0.00069192,             0.93616,             0.69402,             0.87279,             0.60562,            0.024829,           0.0017785,           0.0010814,            0.003565,            0.003565,            0.003565
                  67,            0.022375,           0.0014873,          0.00071618,             0.93005,             0.68905,             0.85256,             0.60009,            0.024613,           0.0018088,           0.0010981,            0.003466,            0.003466,            0.003466
                  68,            0.021544,           0.0014966,          0.00066591,             0.94037,             0.70535,             0.86714,              0.6086,            0.024912,           0.0017478,           0.0010532,            0.003367,            0.003367,            0.003367
                  69,             0.02153,           0.0014687,          0.00077449,             0.95192,             0.70699,             0.85571,             0.59262,            0.024575,           0.0017878,            0.001052,            0.003268,            0.003268,            0.003268
                  70,             0.02217,           0.0015219,          0.00064901,             0.94536,             0.67114,             0.83217,             0.58697,             0.02438,           0.0017743,           0.0010782,            0.003169,            0.003169,            0.003169
                  71,            0.021529,           0.0014566,           0.0007026,             0.94717,             0.66361,             0.84487,             0.59445,            0.024692,           0.0018144,           0.0010339,             0.00307,             0.00307,             0.00307
                  72,            0.021705,           0.0014838,          0.00071832,             0.93799,             0.68312,             0.84533,             0.59919,            0.024867,            0.001749,           0.0010505,            0.002971,            0.002971,            0.002971
